program_id,program_name,field_tags,mentor_id,mentor_name,expertise_tags,languages,education_background,years_experience,institution_id,institution_name,overall_ranking,pred_label_match
23,Information Technology,Public Health;Information Technology,545,Qiang Choi,Computer Science;Public Health;Law;Environmental Science,Spanish,PhD,17,1,Australian Catholic University (ACU),103,0.5544
23,Information Technology,Public Health;Information Technology,219,Zoe Khan,Computer Science;Public Health,Thai,Mixed,7,1,Australian Catholic University (ACU),103,0.5532
23,Information Technology,Public Health;Information Technology,509,Sienna Hussain,Data Science;Environmental Science,Nepali;Arabic;Japanese,Master,13,1,Australian Catholic University (ACU),103,0.5532
23,Information Technology,Public Health;Information Technology,33,Grace Nguyen,Education;Information Technology;Marketing,Mandarin,Master,17,1,Australian Catholic University (ACU),103,0.5525
23,Information Technology,Public Health;Information Technology,196,Jacob Green,Education;Marketing;Information Technology,Thai;Spanish,PhD,6,1,Australian Catholic University (ACU),103,0.5525
23,Information Technology,Public Health;Information Technology,16,Nadia Rahman,Marketing;Computer Science;International Law;Information Technology,Nepali,Bachelor,13,1,Australian Catholic University (ACU),103,0.5521
23,Information Technology,Public Health;Information Technology,122,Krystal Bianchi,Education;Renewable Energy;Information Technology,Nepali;Hindi;Italian,Bachelor,4,1,Australian Catholic University (ACU),103,0.5521
23,Information Technology,Public Health;Information Technology,248,Fatima Hussain,Renewable Energy;Education;Information Technology,Indonesian,PhD,14,1,Australian Catholic University (ACU),103,0.5521
23,Information Technology,Public Health;Information Technology,614,Keiko Green,Education;Data Science,Nepali,Bachelor,2,1,Australian Catholic University (ACU),103,0.5521
23,Information Technology,Public Health;Information Technology,139,Camila Xu,Public Health;Finance;Sustainable Design;Information Technology,French,PhD,18,1,Australian Catholic University (ACU),103,0.5498
23,Information Technology,Public Health;Information Technology,104,Levi Clark,Environmental Science;International Law;Information Technology;Renewable Energy,German;Vietnamese,Mixed,1,1,Australian Catholic University (ACU),103,0.5497
23,Information Technology,Public Health;Information Technology,672,Leo Kaur,Education;Environmental Science;Sustainable Design;Public Health,French;Indonesian;English,Bachelor,12,1,Australian Catholic University (ACU),103,0.5471
23,Information Technology,Public Health;Information Technology,657,Anya Fernandez,Data Science;Information Technology;Accounting,Korean,PhD,12,1,Australian Catholic University (ACU),103,0.5448
23,Information Technology,Public Health;Information Technology,164,Sofia Choi,Finance;Public Health,Mandarin;Nepali,Mixed,14,1,Australian Catholic University (ACU),103,0.5442
23,Information Technology,Public Health;Information Technology,223,Julia Jackson,Public Health;Finance;Renewable Energy;Information Technology,Arabic;Vietnamese;Japanese,Bachelor,8,1,Australian Catholic University (ACU),103,0.5433
23,Information Technology,Public Health;Information Technology,790,Chloe Miller,Environmental Science;Education,Nepali,Master,9,1,Australian Catholic University (ACU),103,0.5403
23,Information Technology,Public Health;Information Technology,268,Pavel O'Neill,Information Technology;Artificial Intelligence,English;Urdu,Bachelor,16,1,Australian Catholic University (ACU),103,0.5401
23,Information Technology,Public Health;Information Technology,625,Kai Akhtar,International Law;Engineering;Information Technology;Education,German;French;Arabic,Mixed,14,1,Australian Catholic University (ACU),103,0.5399
23,Information Technology,Public Health;Information Technology,31,Farah Trivedi,Public Health;Finance;International Law,Nepali;Russian;Spanish,Master,8,1,Australian Catholic University (ACU),103,0.5389
23,Information Technology,Public Health;Information Technology,651,Aarav Ali,Information Technology;Finance;International Law,Italian;Indonesian,PhD,12,1,Australian Catholic University (ACU),103,0.5385
23,Information Technology,Public Health;Information Technology,592,Liam Brown,Law;Information Technology,Russian;Thai,PhD,18,1,Australian Catholic University (ACU),103,0.5383
23,Information Technology,Public Health;Information Technology,793,Pavel Wilson,Information Technology;Law,Japanese;Italian;Vietnamese,Bachelor,5,1,Australian Catholic University (ACU),103,0.5383
23,Information Technology,Public Health;Information Technology,349,Owen Jamal,Public Health;Environmental Science;Computer Science;Design,Indonesian;Vietnamese,Bachelor,5,1,Australian Catholic University (ACU),103,0.538
23,Information Technology,Public Health;Information Technology,574,Daniel Baker,Business;Public Health,French;Japanese,PhD,6,1,Australian Catholic University (ACU),103,0.5356
23,Information Technology,Public Health;Information Technology,387,Aria Wilson,Information Technology;International Law;Sustainable Design,Indonesian,PhD,9,1,Australian Catholic University (ACU),103,0.5351
23,Information Technology,Public Health;Information Technology,578,Jorge Taylor,Information Technology;Finance,Russian;Korean,Bachelor,9,1,Australian Catholic University (ACU),103,0.535
23,Information Technology,Public Health;Information Technology,361,Priya Baker,Computer Science;Information Technology;Banking,Vietnamese,Bachelor,5,1,Australian Catholic University (ACU),103,0.5337
23,Information Technology,Public Health;Information Technology,125,Benjamin Xu,Information Technology;Marketing;International Law;Environmental Science,Nepali;German;Italian,Master,4,1,Australian Catholic University (ACU),103,0.5331
23,Information Technology,Public Health;Information Technology,180,Rosa Le,Marketing;Information Technology,Thai,Master,19,1,Australian Catholic University (ACU),103,0.5329
23,Information Technology,Public Health;Information Technology,327,Zoe Chen,Education;Business;Environmental Science,German;French,Master,5,1,Australian Catholic University (ACU),103,0.5321
23,Information Technology,Public Health;Information Technology,740,Suraj Omar,Banking;Data Science;Computer Science;Public Health,Korean;Mandarin;German,Mixed,4,1,Australian Catholic University (ACU),103,0.5308
23,Information Technology,Public Health;Information Technology,71,Maya Baker,Ecology;Information Technology;Business;Public Health,Arabic,Mixed,11,1,Australian Catholic University (ACU),103,0.5297
23,Information Technology,Public Health;Information Technology,792,Harper Park,Environmental Science;Data Science;Finance,Arabic,Master,15,1,Australian Catholic University (ACU),103,0.5279
23,Information Technology,Public Health;Information Technology,195,Niko Yang,Computer Science;Education,Russian;Thai;Indonesian,PhD,7,1,Australian Catholic University (ACU),103,0.5267
23,Information Technology,Public Health;Information Technology,716,Olivia Nakamura,Architecture;Information Technology;Computer Science,Thai;Spanish,Mixed,19,1,Australian Catholic University (ACU),103,0.5259
23,Information Technology,Public Health;Information Technology,172,Karan Lopez,Environmental Science;Computer Science,Hindi;Urdu;Italian,Bachelor,5,1,Australian Catholic University (ACU),103,0.5257
23,Information Technology,Public Health;Information Technology,554,Daniel Sharma,Information Technology;Environmental Science;Banking,Russian;Urdu;Italian,PhD,19,1,Australian Catholic University (ACU),103,0.5231
23,Information Technology,Public Health;Information Technology,568,Sara Taylor,Business;International Law;Data Science,Japanese;Vietnamese;English,Bachelor,5,1,Australian Catholic University (ACU),103,0.5218
23,Information Technology,Public Health;Information Technology,472,Harper Trivedi,Information Technology;Design,Russian;Spanish;Italian,Bachelor,18,1,Australian Catholic University (ACU),103,0.5213
23,Information Technology,Public Health;Information Technology,261,Daniel Sharma,Data Science;Business,Nepali;Russian,PhD,5,1,Australian Catholic University (ACU),103,0.5208
23,Information Technology,Public Health;Information Technology,620,Mila Khan,Data Science;Business,Korean;English,Mixed,7,1,Australian Catholic University (ACU),103,0.5208
23,Information Technology,Public Health;Information Technology,786,Rosa Campbell,Information Technology;Renewable Energy,Vietnamese,PhD,6,1,Australian Catholic University (ACU),103,0.5196
23,Information Technology,Public Health;Information Technology,188,Leah Miller,Law;Information Technology;Finance;Business,Indonesian;French;Thai,PhD,16,1,Australian Catholic University (ACU),103,0.518
23,Information Technology,Public Health;Information Technology,263,Liam Wang,Education;Information Technology;Accounting,Nepali;Italian,PhD,1,1,Australian Catholic University (ACU),103,0.518
23,Information Technology,Public Health;Information Technology,737,Sam Chen,Education;Sustainable Design;Environmental Science;Computer Science,German;Italian,Bachelor,4,1,Australian Catholic University (ACU),103,0.518
23,Information Technology,Public Health;Information Technology,397,Aisha Akhtar,International Law;Data Science,Korean,PhD,3,1,Australian Catholic University (ACU),103,0.5177
23,Information Technology,Public Health;Information Technology,588,Maya Davis,Data Science;International Law,Hindi;Nepali;Japanese,PhD,11,1,Australian Catholic University (ACU),103,0.5177
23,Information Technology,Public Health;Information Technology,543,Julia Le,Public Health;Marketing,Vietnamese,PhD,4,1,Australian Catholic University (ACU),103,0.5171
23,Information Technology,Public Health;Information Technology,405,Grace Ali,Information Technology;Ecology;Data Science,Japanese,Master,18,1,Australian Catholic University (ACU),103,0.517
23,Information Technology,Public Health;Information Technology,728,Jacob Martin,Nursing;Computer Science;Public Health;International Law,Spanish;Thai,Bachelor,6,1,Australian Catholic University (ACU),103,0.517
23,Information Technology,Public Health;Information Technology,161,Daniel Wang,Public Health;Data Science;Ecology,German;Italian;French,Mixed,9,1,Australian Catholic University (ACU),103,0.5168
23,Information Technology,Public Health;Information Technology,703,Noah Anderson,Law;Environmental Science;Sustainable Design;Public Health,Arabic,PhD,19,1,Australian Catholic University (ACU),103,0.5159
23,Information Technology,Public Health;Information Technology,295,Benjamin Green,Public Health;Engineering,Arabic,Master,16,1,Australian Catholic University (ACU),103,0.5153
23,Information Technology,Public Health;Information Technology,301,Niko Trivedi,Law;Finance;Information Technology,Vietnamese;Russian;Hindi,Bachelor,7,1,Australian Catholic University (ACU),103,0.5153
23,Information Technology,Public Health;Information Technology,756,Liam Baker,Environmental Science;International Law,Korean,Master,15,1,Australian Catholic University (ACU),103,0.5143
23,Information Technology,Public Health;Information Technology,767,Jacob Ivanov,Business;Environmental Science;International Law,Thai;Hindi;English,PhD,15,1,Australian Catholic University (ACU),103,0.5132
23,Information Technology,Public Health;Information Technology,557,Qiang Park,Data Science;Education;Renewable Energy;Computer Science,English;Italian,Master,1,1,Australian Catholic University (ACU),103,0.5125
23,Information Technology,Public Health;Information Technology,626,Lucia Bianchi,Sustainable Design;International Law;Information Technology;Renewable Energy,Spanish;Hindi,Bachelor,9,1,Australian Catholic University (ACU),103,0.5122
23,Information Technology,Public Health;Information Technology,28,Rosa Sanchez,Information Technology;Artificial Intelligence;Engineering,Vietnamese,Bachelor,18,1,Australian Catholic University (ACU),103,0.5111
23,Information Technology,Public Health;Information Technology,494,Alice Kaur,Environmental Science;Business,French;Hindi;English,Master,8,1,Australian Catholic University (ACU),103,0.51
23,Information Technology,Public Health;Information Technology,229,Aiden Anderson,Marketing;Education;Environmental Science,French,Bachelor,8,1,Australian Catholic University (ACU),103,0.509
23,Information Technology,Public Health;Information Technology,565,Iris Williams,Computer Science;Artificial Intelligence;International Law;Data Science,Mandarin;Spanish,PhD,5,1,Australian Catholic University (ACU),103,0.5088
23,Information Technology,Public Health;Information Technology,72,Aisha Rahman,Finance;Data Science;International Law,Spanish,Mixed,5,1,Australian Catholic University (ACU),103,0.507
23,Information Technology,Public Health;Information Technology,215,Owen Nakamura,International Law;Education,Mandarin,Master,2,1,Australian Catholic University (ACU),103,0.5061
23,Information Technology,Public Health;Information Technology,20,Levi Le,Law;Information Technology;Renewable Energy,Korean;Japanese,Bachelor,11,1,Australian Catholic University (ACU),103,0.505
23,Information Technology,Public Health;Information Technology,492,Amir Fernandez,Business;Computer Science,Indonesian,PhD,17,1,Australian Catholic University (ACU),103,0.5041
23,Information Technology,Public Health;Information Technology,752,Evelyn Ali,Business;Computer Science,Nepali;Urdu;Indonesian,Bachelor,8,1,Australian Catholic University (ACU),103,0.5041
23,Information Technology,Public Health;Information Technology,232,Keiko Le,Marketing;Renewable Energy;Information Technology,Japanese,Mixed,17,1,Australian Catholic University (ACU),103,0.504
23,Information Technology,Public Health;Information Technology,173,Jacob Nakamura,Engineering;Data Science,Vietnamese;Urdu;Mandarin,PhD,19,1,Australian Catholic University (ACU),103,0.5027
23,Information Technology,Public Health;Information Technology,457,Ibrahim Rossi,Data Science;Engineering,Nepali;Korean;Thai,Mixed,2,1,Australian Catholic University (ACU),103,0.5027
23,Information Technology,Public Health;Information Technology,187,Eli Tran,International Law;Nursing;Public Health,Urdu;Vietnamese;Hindi,Bachelor,8,1,Australian Catholic University (ACU),103,0.5012
23,Information Technology,Public Health;Information Technology,231,Mina Williams,Public Health;Law;Marketing,Japanese;Spanish,Master,13,1,Australian Catholic University (ACU),103,0.5011
23,Information Technology,Public Health;Information Technology,499,Ivy Martinez,Business;Information Technology;Psychology;Data Science,Arabic,PhD,10,1,Australian Catholic University (ACU),103,0.5003
23,Information Technology,Public Health;Information Technology,707,Leo Hussain,Data Science;Finance,Russian;Spanish,Bachelor,15,1,Australian Catholic University (ACU),103,0.5002
23,Information Technology,Public Health;Information Technology,47,Mohammed Green,Environmental Science;International Law;Law,Mandarin;Spanish;Thai,Master,14,1,Australian Catholic University (ACU),103,0.5001
23,Information Technology,Public Health;Information Technology,171,Soojin Grant,Education;Sustainable Design;Computer Science,Hindi;Vietnamese;Thai,Bachelor,3,1,Australian Catholic University (ACU),103,0.5
23,Information Technology,Public Health;Information Technology,450,Mohammed Trivedi,Public Health;Architecture;Computer Science,Korean,PhD,8,1,Australian Catholic University (ACU),103,0.4991
23,Information Technology,Public Health;Information Technology,746,Chloe Yang,Accounting;Information Technology;Ecology;Public Health,Hindi;Arabic;Russian,Bachelor,8,1,Australian Catholic University (ACU),103,0.4991
23,Information Technology,Public Health;Information Technology,181,Riya Park,Public Health;Business;Ecology;Education,Vietnamese;Korean,PhD,1,1,Australian Catholic University (ACU),103,0.4988
23,Information Technology,Public Health;Information Technology,52,Aisha Singh,Computer Science;Marketing;Environmental Science,Hindi,Mixed,18,1,Australian Catholic University (ACU),103,0.4986
23,Information Technology,Public Health;Information Technology,541,Olivia Taylor,Environmental Science;Marketing;Education;Business,English,PhD,4,1,Australian Catholic University (ACU),103,0.498
23,Information Technology,Public Health;Information Technology,353,Krystal Ng,Accounting;Information Technology,Korean;Russian;Vietnamese,Master,11,1,Australian Catholic University (ACU),103,0.4975
23,Information Technology,Public Health;Information Technology,313,Leo Liu,International Law;Public Health;Accounting;Finance,German;Italian;Thai,Master,18,1,Australian Catholic University (ACU),103,0.497
23,Information Technology,Public Health;Information Technology,272,Noelle Chen,Data Science;Marketing;Environmental Science;Sustainable Design,Hindi;Japanese;Italian,Bachelor,3,1,Australian Catholic University (ACU),103,0.4966
23,Information Technology,Public Health;Information Technology,43,Jacob Liu,Engineering;Information Technology;Ecology;Data Science,English,Bachelor,3,1,Australian Catholic University (ACU),103,0.4956
23,Information Technology,Public Health;Information Technology,355,Mila Smith,Computer Science;Information Technology;Law;Architecture,Arabic,Bachelor,15,1,Australian Catholic University (ACU),103,0.4955
23,Information Technology,Public Health;Information Technology,729,Dinesh Le,Banking;Information Technology;Environmental Science;Engineering,Nepali;Russian;Urdu,Bachelor,7,1,Australian Catholic University (ACU),103,0.4951
23,Information Technology,Public Health;Information Technology,364,Theo Rahman,International Law;Business;Public Health;Nursing,Nepali;Korean;Urdu,Master,13,1,Australian Catholic University (ACU),103,0.4947
23,Information Technology,Public Health;Information Technology,745,Mateo Kumar,Data Science;Computer Science;Design,Spanish,PhD,3,1,Australian Catholic University (ACU),103,0.4939
23,Information Technology,Public Health;Information Technology,669,Benjamin Yang,Renewable Energy;Public Health,Japanese;English;Mandarin,Mixed,14,1,Australian Catholic University (ACU),103,0.4938
23,Information Technology,Public Health;Information Technology,184,Alex Smith,Renewable Energy;Information Technology;Design;Business,Vietnamese;Indonesian;Thai,Master,7,1,Australian Catholic University (ACU),103,0.4935
23,Information Technology,Public Health;Information Technology,376,Sara Anderson,Information Technology;Nursing;Data Science;Marketing,English,Master,17,1,Australian Catholic University (ACU),103,0.4935
23,Information Technology,Public Health;Information Technology,267,Daniel Tran,Finance;Education,Hindi,PhD,5,1,Australian Catholic University (ACU),103,0.4931
23,Information Technology,Public Health;Information Technology,757,Yuki Yang,Education;Finance,Korean;Japanese,Mixed,4,1,Australian Catholic University (ACU),103,0.4931
23,Information Technology,Public Health;Information Technology,3,Mina Singh,Accounting;Public Health,Urdu;Russian;Nepali,Bachelor,17,1,Australian Catholic University (ACU),103,0.4927
23,Information Technology,Public Health;Information Technology,5,Wei Nakamura,Accounting;Public Health,Vietnamese;Thai,Mixed,16,1,Australian Catholic University (ACU),103,0.4927
23,Information Technology,Public Health;Information Technology,351,Farah Brown,Public Health;Accounting,Vietnamese,Bachelor,10,1,Australian Catholic University (ACU),103,0.4927
23,Information Technology,Public Health;Information Technology,635,Ibrahim Brown,Accounting;Public Health,Spanish;Korean;Nepali,PhD,2,1,Australian Catholic University (ACU),103,0.4927
23,Information Technology,Public Health;Information Technology,211,Maya Campbell,Renewable Energy;Public Health;Psychology;Information Technology,Indonesian;Thai;Mandarin,Mixed,13,1,Australian Catholic University (ACU),103,0.4926
23,Information Technology,Public Health;Information Technology,493,Mateo Martin,Banking;Business;Artificial Intelligence;Information Technology,Indonesian,Mixed,12,1,Australian Catholic University (ACU),103,0.4926
23,Information Technology,Public Health;Information Technology,379,Zara Kumar,Data Science;Education;Law;Marketing,Urdu;Vietnamese;Russian,Master,4,1,Australian Catholic University (ACU),103,0.492
23,Information Technology,Public Health;Information Technology,63,Zoe Miller,Law;Environmental Science,Korean,Bachelor,11,1,Australian Catholic University (ACU),103,0.4917
23,Information Technology,Public Health;Information Technology,135,Hanna Jamal,Banking;Finance;Public Health,Arabic,Master,15,1,Australian Catholic University (ACU),103,0.4917
23,Information Technology,Public Health;Information Technology,249,Evelyn Brown,Environmental Science;Law,Urdu,Bachelor,13,1,Australian Catholic University (ACU),103,0.4917
23,Information Technology,Public Health;Information Technology,339,Nguyen Rodriguez,Law;Environmental Science,Thai,Bachelor,15,1,Australian Catholic University (ACU),103,0.4917
23,Information Technology,Public Health;Information Technology,404,Thao Fisher,Banking;Public Health;Finance,Korean;Thai;Russian,Master,5,1,Australian Catholic University (ACU),103,0.4917
23,Information Technology,Public Health;Information Technology,392,Karan Ng,Finance;Environmental Science,Indonesian;German;Russian,Mixed,13,1,Australian Catholic University (ACU),103,0.4915
23,Information Technology,Public Health;Information Technology,476,Sam Taylor,Public Health;Film;Computer Science,Arabic;Spanish,Mixed,1,1,Australian Catholic University (ACU),103,0.4912
23,Information Technology,Public Health;Information Technology,95,Harper Rodriguez,Sustainable Design;Environmental Science,Hindi;English,Bachelor,6,1,Australian Catholic University (ACU),103,0.4907
23,Information Technology,Public Health;Information Technology,190,Jorge Jones,Sustainable Design;Environmental Science,Italian;Arabic,Bachelor,19,1,Australian Catholic University (ACU),103,0.4907
23,Information Technology,Public Health;Information Technology,83,Priya Yang,Business;Public Health;Banking,Thai;Italian;German,Mixed,4,1,Australian Catholic University (ACU),103,0.4898
23,Information Technology,Public Health;Information Technology,414,Nadia Nguyen,Business;Finance;Banking;Information Technology,Spanish;Korean;Vietnamese,Bachelor,16,1,Australian Catholic University (ACU),103,0.4898
23,Information Technology,Public Health;Information Technology,784,Li Le,Public Health;Nursing,German,Mixed,16,1,Australian Catholic University (ACU),103,0.4891
23,Information Technology,Public Health;Information Technology,787,Iris Zhang,Sustainable Design;Finance;Data Science;International Law,Thai,Master,6,1,Australian Catholic University (ACU),103,0.4882
23,Information Technology,Public Health;Information Technology,14,Isha O'Neill,Marketing;Computer Science;Public Health;Renewable Energy,Arabic;Nepali;Indonesian,Master,7,1,Australian Catholic University (ACU),103,0.4878
23,Information Technology,Public Health;Information Technology,428,Suresh Garcia,Finance;Information Technology;Banking,Thai;Spanish,Mixed,14,1,Australian Catholic University (ACU),103,0.4875
23,Information Technology,Public Health;Information Technology,35,Sam Omar,Public Health;Law;Nursing,English;Italian;Russian,Mixed,18,1,Australian Catholic University (ACU),103,0.4863
23,Information Technology,Public Health;Information Technology,291,Mei Garcia,Sustainable Design;Education;Business,Thai;English;Korean,Mixed,10,1,Australian Catholic University (ACU),103,0.4863
23,Information Technology,Public Health;Information Technology,247,Benjamin Khan,Marketing;Environmental Science;Business,Spanish;English;Arabic,PhD,19,1,Australian Catholic University (ACU),103,0.4851
23,Information Technology,Public Health;Information Technology,103,Grace Tran,Law;Education,Arabic;Indonesian,PhD,3,1,Australian Catholic University (ACU),103,0.4846
23,Information Technology,Public Health;Information Technology,486,Fatima Ahmed,Education;Law,Russian,Mixed,16,1,Australian Catholic University (ACU),103,0.4846
23,Information Technology,Public Health;Information Technology,398,Amir Kaur,Finance;Renewable Energy;Engineering;Public Health,Nepali,Master,5,1,Australian Catholic University (ACU),103,0.4845
23,Information Technology,Public Health;Information Technology,76,Aiden Trivedi,Finance;Marketing;Design;Information Technology,Japanese,Mixed,14,1,Australian Catholic University (ACU),103,0.4844
23,Information Technology,Public Health;Information Technology,771,Priya Nakamura,Nursing;Environmental Science;Sustainable Design;Public Health,Urdu;Japanese;Russian,Master,13,1,Australian Catholic University (ACU),103,0.4844
23,Information Technology,Public Health;Information Technology,200,Marcus Yang,Information Technology;Engineering;Banking;International Law,Urdu;Russian,Master,10,1,Australian Catholic University (ACU),103,0.4835
23,Information Technology,Public Health;Information Technology,694,Jorge Fernandez,Renewable Energy;Business;Data Science,Urdu;Hindi;Nepali,Mixed,19,1,Australian Catholic University (ACU),103,0.482
23,Information Technology,Public Health;Information Technology,160,Kai Wilson,Law;Computer Science,Vietnamese;French,Master,18,1,Australian Catholic University (ACU),103,0.4814
23,Information Technology,Public Health;Information Technology,607,Aiden Rossi,Computer Science;Law,Korean;Hindi;French,Bachelor,10,1,Australian Catholic University (ACU),103,0.4814
23,Information Technology,Public Health;Information Technology,700,Levi Brown,Computer Science;Law,Vietnamese;Arabic,Mixed,8,1,Australian Catholic University (ACU),103,0.4814
23,Information Technology,Public Health;Information Technology,761,Jorge Ali,Computer Science;Law,Indonesian;Nepali,Mixed,2,1,Australian Catholic University (ACU),103,0.4814
23,Information Technology,Public Health;Information Technology,288,Soojin Wilson,Artificial Intelligence;Public Health;Sustainable Design;Business,German,Master,9,1,Australian Catholic University (ACU),103,0.4813
23,Information Technology,Public Health;Information Technology,577,Dinesh Chan,Environmental Science;Marketing,French;Korean;Mandarin,PhD,16,1,Australian Catholic University (ACU),103,0.4812
23,Information Technology,Public Health;Information Technology,235,Isha Liu,Sustainable Design;Education,Mandarin;French;English,PhD,7,1,Australian Catholic University (ACU),103,0.4809
23,Information Technology,Public Health;Information Technology,388,Min Tran,Information Technology;Education;Architecture;Marketing,Russian;German;Spanish,Bachelor,5,1,Australian Catholic University (ACU),103,0.4808
23,Information Technology,Public Health;Information Technology,522,Lara Chen,Business;International Law;Design;Data Science,Japanese,Bachelor,15,1,Australian Catholic University (ACU),103,0.4803
23,Information Technology,Public Health;Information Technology,123,Suresh Li,Architecture;Information Technology,Russian;Japanese;Italian,PhD,9,1,Australian Catholic University (ACU),103,0.4802
23,Information Technology,Public Health;Information Technology,318,Nadia Sharma,Architecture;Information Technology,Indonesian;English,Mixed,14,1,Australian Catholic University (ACU),103,0.4802
23,Information Technology,Public Health;Information Technology,631,Jin Lopez,Marketing;Renewable Energy;Public Health,Italian,Mixed,13,1,Australian Catholic University (ACU),103,0.4796
23,Information Technology,Public Health;Information Technology,539,Suraj Tan,Business;Computer Science;Sustainable Design,German;English;Arabic,Master,19,1,Australian Catholic University (ACU),103,0.4795
23,Information Technology,Public Health;Information Technology,650,Mohammed Jones,Data Science;Information Technology;Accounting;Nursing,Korean;Arabic,PhD,3,1,Australian Catholic University (ACU),103,0.4786
23,Information Technology,Public Health;Information Technology,680,Harper Li,Engineering;Computer Science,Vietnamese,Mixed,3,1,Australian Catholic University (ACU),103,0.476
23,Information Technology,Public Health;Information Technology,720,Zara Johnson,Environmental Science;Artificial Intelligence,Nepali;Vietnamese,Mixed,6,1,Australian Catholic University (ACU),103,0.4758
23,Information Technology,Public Health;Information Technology,141,Mateo Khan,Information Technology;Law;Design;Sustainable Design,German;Japanese;Russian,Bachelor,17,1,Australian Catholic University (ACU),103,0.4756
